DATE,TB1YR
2020-01-01,1.49
2020-02-01,1.37
2020-03-01,0.32
2020-04-01,0.18
2020-05-01,0.16
2020-06-01,0.18
2020-07-01,0.15
2020-08-01,0.13
2020-09-01,0.13
2020-10-01,0.13
2020-11-01,0.12
2020-12-01,0.10
2021-01-01,0.10
2021-02-01,0.07
2021-03-01,0.07
2021-04-01,0.06
2021-05-01,0.05
2021-06-01,0.07
2021-07-01,0.07
2021-08-01,0.07
2021-09-01,0.07
2021-10-01,0.10
2021-11-01,0.17
2021-12-01,0.28
2022-01-01,0.53
2022-02-01,0.97
2022-03-01,1.28
2022-04-01,1.81
2022-05-01,1.97
2022-06-01,2.55
2022-07-01,2.91
2022-08-01,3.16
2022-09-01,3.73
2022-10-01,4.23
2022-11-01,4.51
2022-12-01,4.47
2023-01-01,4.49
2023-02-01,4.70
2023-03-01,4.47
2023-04-01,4.48
2023-05-01,4.69
2023-06-01,4.98
2023-07-01,5.10
2023-08-01,5.09
2023-09-01,5.15
2023-10-01,5.15
2023-11-01,5.01
2023-12-01,4.72
2024-01-01,4.57
2024-02-01,4.69
2024-03-01,4.76
2024-04-01,4.89
2024-05-01,4.91
2024-06-01,4.87
2024-07-01,4.68
