DATE,TB6MS
2020-01-01,1.52
2020-02-01,1.47
2020-03-01,0.29
2020-04-01,0.17
2020-05-01,0.15
2020-06-01,0.18
2020-07-01,0.14
2020-08-01,0.12
2020-09-01,0.12
2020-10-01,0.11
2020-11-01,0.10
2020-12-01,0.09
2021-01-01,0.09
2021-02-01,0.06
2021-03-01,0.05
2021-04-01,0.04
2021-05-01,0.04
2021-06-01,0.05
2021-07-01,0.05
2021-08-01,0.06
2021-09-01,0.05
2021-10-01,0.06
2021-11-01,0.07
2021-12-01,0.15
2022-01-01,0.33
2022-02-01,0.64
2022-03-01,0.83
2022-04-01,1.23
2022-05-01,1.45
2022-06-01,2.11
2022-07-01,2.76
2022-08-01,3.05
2022-09-01,3.63
2022-10-01,4.18
2022-11-01,4.48
2022-12-01,4.55
2023-01-01,4.67
2023-02-01,4.81
2023-03-01,4.77
2023-04-01,4.79
2023-05-01,5.03
2023-06-01,5.19
2023-07-01,5.27
2023-08-01,5.28
2023-09-01,5.31
2023-10-01,5.33
2023-11-01,5.24
2023-12-01,5.12
2024-01-01,5.02
2024-02-01,5.09
2024-03-01,5.11
2024-04-01,5.15
2024-05-01,5.17
2024-06-01,5.15
2024-07-01,5.01
